t,tag,z,bias,value
0.4211,rec,0,38229,1115
0.42137,rec,0,38229,1089
0.42164,rec,0,38229,1091
0.4219,rec,0,38229,1019
0.42223,rec,0,38229,1047
0.42248,rec,0,38229,1129
0.42275,rec,0,38229,1094
0.42302,rec,0,38229,1063
0.42336,rec,0,38229,1071
0.4236,rec,0,38229,1030
0.42385,rec,0,38229,1025
0.4241,rec,0,38229,1081
0.42435,rec,0,38229,1080
0.4246,rec,0,38229,1123
0.42488,rec,0,38229,1092
0.42513,rec,0,38229,1094
0.42544,rec,0,38229,1024
0.42573,rec,0,38229,1088
0.42598,rec,0,38229,1063
0.42623,rec,0,38229,1005
0.42648,rec,0,38229,1147
0.42673,rec,0,38229,1070
0.42698,rec,0,38229,1116
0.42727,rec,0,38229,1086
0.42752,rec,0,38229,1097
0.42786,rec,0,38229,1109
0.42811,rec,0,38229,1100
0.4284,rec,0,38229,1116
0.42869,rec,0,38229,1091
0.42898,rec,0,38229,1077
0.42927,rec,0,38229,1112
0.42961,rec,0,38229,1173
0.42989,rec,0,38229,1157
0.43024,rec,0,38229,1127
0.43052,rec,0,38229,1151
0.43086,rec,0,38229,1141
0.43115,rec,0,38229,1198
0.43148,rec,0,38229,1211
0.43178,rec,0,38229,1128
0.43211,rec,0,38229,1143
0.43239,rec,0,38229,1126
0.43269,rec,0,38229,1161
0.43298,rec,0,38229,1081
0.43327,rec,0,38229,1147
0.43361,rec,0,38229,1097
0.43389,rec,0,38229,1115
0.43421,rec,0,38229,1098
0.43451,rec,0,38229,1120
0.43479,rec,0,38229,1017
0.43509,rec,0,38229,1165
0.43538,rec,0,38229,1125
0.43563,rec,0,38229,1133
0.43592,rec,0,38229,1177
0.43621,rec,0,38229,1142
0.43651,rec,0,38229,1170
0.43679,rec,0,38229,1195
0.43709,rec,0,38229,1193
0.43738,rec,0,38229,1188
0.43767,rec,0,38229,1257
0.43796,rec,0,38229,1168
0.43826,rec,0,38229,1169
0.43858,rec,0,38229,1171
0.43889,rec,0,38229,1204
