t,value
0.23300,32767
0.23328,32767
0.23360,32767
0.23389,32767
0.23418,32767
0.23450,32767
0.23481,32767
0.23512,32767
0.23546,32767
0.23582,32767
0.23615,32767
0.23649,32767
0.23682,32767
0.23717,32767
0.23746,32767
0.23781,32767
0.23811,32767
0.23850,32767
0.23889,32767
0.23929,32767
0.23969,32767
0.24010,32767
0.24047,32767
0.24088,32767
0.24123,32767
0.24162,32767
0.24197,32767
0.24235,32767
0.24276,32767
0.24309,32767
0.24348,32767
0.24385,32767
0.24423,32767
0.24459,32767
0.24493,32767
0.24537,32767
0.24572,32767
0.24609,32767
0.24648,32767
0.24681,32767
0.24715,32767
0.24757,32767
0.24787,32767
0.24819,32767
0.24845,32767
0.24874,32767
0.24905,32767
0.24935,32767
0.24964,32767
0.24992,32767
0.25021,32767
0.25052,32767
0.25081,32767
0.25112,32767
0.25140,32767
0.25169,32767
0.25198,32767
0.25228,32767
0.25259,32767
0.25291,32767
0.25320,32767
0.25353,32767
0.25392,32767
0.25430,32767
0.25465,32767
0.25498,32767
0.25532,32767
0.25565,32767
0.25598,32767
0.25632,32767
0.25665,32767
0.25694,32767
0.25725,32767
0.25756,32767
0.25788,32767
0.25819,32767
0.25851,32767
0.25886,32767
0.25920,32767
0.25954,32767
0.25984,32767
0.26020,32767
0.26053,32767
0.26088,32767
0.26123,32767
0.26162,32767
0.26197,32767
0.26235,32767
0.26287,32767
0.26321,32767
0.26355,32767
0.26385,32767
0.26417,32767
0.26446,32767
0.26481,32767
0.26511,32767
0.26544,32767
0.26581,32767
0.26611,32767
0.26640,32767
0.26672,32767
0.26704,32767
0.26734,32767
0.26767,32767
0.26794,32767
0.26822,32767
0.26853,32767
0.26884,32767
0.26910,32767
0.26953,32767
0.26985,32767
0.27016,32767
0.27047,32767
0.27082,32767
0.27115,32767
0.27148,32767
0.27177,32767
0.27210,32767
0.27245,32767
0.27276,32767
0.27310,32767
0.27350,32767
0.27385,32767
0.27420,32767
0.27455,32767
0.27488,32767
0.27518,32767
0.27549,32767
0.27580,32767
0.27609,32767
0.27642,32767
0.27668,32767
0.27693,32767
0.27722,32767
0.27748,32767
0.27777,32767
0.27806,32767
0.27841,32767
0.27871,32767
0.27900,32767
0.27934,32767
0.27964,32767
0.27992,32767
0.28020,32767
0.28050,32767
0.28081,32767
0.28112,32767
0.28142,32767
0.28172,32767
0.28201,32767
0.28232,32767
0.28262,32767
0.28292,32767
0.28319,32767
0.28348,32767
0.28376,32767
0.28406,32767
0.28435,32767
0.28464,32767
0.28496,32767
0.28527,32767
0.28556,32767
0.28585,32767
0.28617,32767
0.28646,32767
0.28675,32767
0.28706,32767
0.28737,32767
0.28769,32767
0.28802,32767
0.28834,32767
0.28866,32767
0.28894,32767
0.28925,32767
0.28957,32767
0.28985,32767
0.29019,32767
0.29050,32767
0.29082,32767
0.29110,32767
0.29143,32767
0.29175,32767
0.29206,32767
0.29237,32767
0.29268,32767
0.29300,32767
0.29330,32767
0.29362,32767
0.29393,32767
0.29424,32767
0.29455,32767
0.29485,32767
0.29516,32767
0.29545,32767
0.29575,32767
0.29606,32767
0.29636,32767
0.29668,32767
0.29697,32767
0.29730,32767
0.29760,32767
0.29786,32767
0.29814,32767
0.29842,32767
0.29870,32767
0.29899,32767
0.29931,32767
0.29962,32767
0.29994,32767
0.30035,32767
0.30066,32767
0.30093,32767
0.30118,32767
0.30156,32767
0.30184,32767
0.30211,32767
0.30239,32767
0.30269,32767
0.30297,32767
0.30323,32767
0.30350,32767
0.30380,32767
0.30405,32767
0.30433,32767
0.30460,32767
0.30485,32767
0.30509,32767
0.30535,32767
0.30559,32767
0.30586,32767
0.30612,32767
0.30643,32767
0.30670,32767
0.30700,32767
0.30730,32767
0.30754,32767
0.30779,32767
0.30804,32767
0.30828,32767
0.30857,32767
0.30883,32767
0.30911,32767
0.30934,32767
0.30959,32767
0.30984,32767
0.31009,32767
0.31034,32767
0.31061,32767
0.31092,32767
0.31118,32767
0.31142,32767
0.31168,32767
0.31192,32767
0.31217,32767
0.31242,32767
0.31267,32767
0.31292,32767
0.31318,32767
0.31343,32767
0.31370,32767
0.31397,32767
0.31424,32767
0.31456,32767
0.31484,32767
0.31511,32767
0.31536,32767
0.31570,32767
0.31597,32767
0.31625,32767
0.31654,32767
0.31682,32767
0.31708,32767
0.31732,32767
0.31760,32767
0.31787,32767
0.31820,32767
0.31847,32767
0.31875,32767
0.31906,32767
0.31931,32767
0.31960,32767
0.31984,32767
0.32010,32767
0.32035,32767
0.32061,32767
0.32088,32767
0.32118,32767
0.32143,32767
0.32168,32767
0.32193,32767
0.32218,32767
0.32245,32767
0.32270,32767
0.32297,32767
0.32324,32767
0.32358,32767
0.32387,32767
0.32418,32767
0.32445,32767
0.32472,32767
0.32499,32767
0.32532,32767
0.32559,32767
0.32589,32767
0.32617,32767
0.32642,32767
0.32668,32767
0.32693,32767
0.32719,32767
0.32744,32767
0.32772,32767
0.32799,32767
0.32832,32767
0.32859,32767
0.32886,32767
0.32919,32767
0.32947,32767
0.32974,32767
0.33007,32767
0.33032,32767
0.33057,32767
0.33082,32767
0.33109,32767
0.33136,32767
0.33168,32767
0.33197,32767
0.33222,32767
0.33253,32767
0.33281,32767
0.33309,32767
0.33334,32767
0.33359,32767
0.33384,32767
0.33411,32767
0.33443,32767
0.33470,32767
0.33497,32767
0.33526,32767
0.33553,32767
0.33578,32767
0.33608,32767
0.33632,32767
0.33657,32767
0.33682,32767
0.33707,32767
0.33732,32767
0.33757,32767
0.33782,32767
0.33807,32767
0.33833,32767
0.33860,32767
0.33883,32767
0.33912,32767
0.33936,32767
0.33970,32767
0.33995,32767
0.34020,32767
0.34045,32767
0.34074,32767
0.34106,32767
0.34135,32767
0.34163,32767
0.34191,32767
0.34220,32767
0.34250,32767
0.34281,32767
0.34310,32767
0.34337,32767
0.34368,32767
0.34398,32767
0.34425,32767
0.34456,32767
0.34485,32767
0.34514,32767
0.34544,32767
0.34573,32767
0.34606,32767
0.34635,32767
0.34664,32767
0.34693,32767
0.34722,32767
0.34753,32767
0.34783,32767
0.34813,32767
0.34845,32767
0.34873,32767
0.34896,32767
0.34922,32767
0.34952,32767
0.34981,32767
0.35008,32767
0.35035,32767
0.35061,32767
0.35091,32767
0.35119,32767
0.35147,32767
0.35171,32767
0.35199,32767
0.35233,32767
0.35262,32767
0.35295,32767
0.35320,32767
0.35345,32767
0.35374,32767
0.35409,32767
0.35437,32767
0.35466,32767
0.35497,32767
0.35523,32767
0.35554,32767
0.35583,32767
0.35612,32767
0.35644,32767
0.35673,32767
0.35704,32767
0.35733,32767
0.35764,32767
0.35794,32767
0.35824,32767
0.35854,32767
0.35883,32767
0.35914,32767
0.35942,32767
0.35971,32767
0.36000,32767
0.36029,32767
0.36056,32767
0.36084,32767
0.36113,32767
0.36144,32767
0.36173,32767
0.36204,32767
0.36234,32767
0.36262,32767
0.36292,32767
0.36322,32767
0.36349,32767
0.36379,32767
0.36409,32767
0.36437,32767
0.36470,32767
0.36499,32767
0.36531,32767
0.36558,32767
0.36586,32767
0.36614,32767
0.36643,32767
0.36672,32767
0.36702,32767
0.36731,32767
0.36760,32767
0.36788,32767
0.36818,32767
0.36854,32767
0.36883,32767
0.36912,32767
0.36941,32767
0.36970,32767
0.36999,32767
0.37033,32767
0.37062,32767
0.37091,32767
0.37121,32767
0.37149,32767
0.37183,32767
0.37211,32767
0.37243,32767
0.37274,32767
0.37304,32767
0.37333,32767
0.37361,32767
0.37393,32767
0.37423,32767
0.37451,32767
0.37481,32767
0.37510,32767
0.37538,32767
0.37569,32767
0.37598,32767
0.37626,32767
0.37656,32767
0.37688,32767
0.37720,32767
0.37746,32767
0.37775,32767
0.37807,32767
0.37836,32767
0.37865,32767
0.37900,32767
0.37932,32767
0.37959,32767
0.37987,32767
0.38018,32767
0.38046,32767
0.38074,32767
0.38106,32767
0.38135,32767
0.38163,32767
0.38193,32767
0.38223,32767
0.38252,32767
0.38281,32767
0.38310,32767
0.38339,32767
0.38369,32767
0.38397,32767
0.38426,32767
0.38456,32767
0.38485,32767
0.38514,32767
0.38542,32767
0.38570,32767
0.38600,32767
0.38633,32767
0.38662,32767
0.38694,32767
0.38723,32767
0.38751,32767
0.38781,32767
0.38810,32767
0.38842,32767
0.38871,32767
0.38899,32767
0.38934,32767
0.38962,32767
0.38995,32767
0.39025,32767
0.39058,32767
0.39087,32767
0.39120,32767
0.39149,32767
0.39183,32767
0.39210,32767
0.39237,32767
0.39268,32767
0.39297,32767
0.39327,32767
0.39356,32767
0.39385,32767
0.39414,32767
0.39443,32767
0.39472,32767
0.39503,32767
0.39531,32767
0.39560,32767
0.39589,32767
0.39618,32767
0.39647,32767
0.39672,32767
0.39697,32767
0.39724,32767
0.39755,32767
0.39780,32767
0.39805,32767
0.39830,32767
