t_s,adcr
4.2286858999868855,-73
4.229109699983383,-68
4.229408799990779,-6
4.22971059998963,48
4.229974399990169,-51
4.230244999984279,25
4.230519099975936,34
4.2307917999860365,0
4.231059299985645,6
4.23139380000066,-24
4.231675999995787,-25
4.231951099995058,4
4.232222999999067,-9
4.232499799982179,-41
4.232766299974173,-6
4.2330188999767415,-17
4.233277699997416,-31
4.233549500000663,-10
4.233807599986903,-58
4.234126499999547,15
4.23437289998401,33
4.234642999974312,14
4.234921900002519,55
4.235159499978181,20
4.235419899981935,0
4.235671000002185,-4
4.2359284999838565,-69
4.236185499990825,0
4.236520799982827,2
4.236788899987005,-15
4.237057799997274,0
4.23739869997371,11
4.237684399995487,22
4.23793829997885,6
4.238272799993865,-66
4.238519099977566,31
4.238768899987917,-10
4.239046599977883,2
4.239307399984682,-42
4.2396276999788824,-68
4.239872899983311,37
4.240149399993243,-9
4.240393399988534,-48
4.240671299980022,-30
4.240909099986311,36
4.241188799991505,56
4.241434899973683,35
4.241727499989793,17
4.241975699987961,4
4.242249399976572,-15
4.242518799990648,6
4.242789699987043,-48
4.243082200002391,-31
4.243730199988931,-44
4.244321599981049,30
4.244806999980938,-16
4.245110299991211,18
4.245388799987268,10
4.245835499983514,4
4.246098099974915,-5
4.246315700002015,70
4.246583799977088,34
4.246842199994717,-1
4.247090099990601,28
4.247341199981747,-31
4.247589799982961,-16
4.247839799994836,-42
4.248090699984459,-20
4.248340099991765,-1
4.248589999973774,-56
4.24884079999174,18
4.249089999997523,-45
4.249339499976486,40
4.24958949998836,41
4.249840199976461,14
4.250089199980721,87
4.250339599995641,11
4.250588700000662,42
4.250840299995616,7
4.251089699973818,9
4.251339599984931,-20
4.251590399973793,-20
4.251839799981099,-13
4.25209029999678,-71
4.252340199978789,22
4.252589699986856,-2
4.252842099987902,4
4.253099299996393,40
4.253386099997442,51
4.253686099982588,-51
4.253943199990317,-51
4.254249999998137,-19
4.254534499981673,-39
4.254808799974853,-8
4.255120999994688,-4
4.2553919999918435,-20
4.255664500000421,43
4.255931899999268,24
4.256267699995078,71
4.256538799992995,57
4.256806399993366,46
4.257145399984438,-14
4.257416299980832,-14
4.257680299982894,-3
4.257979299989529,-109
4.258229200000642,-7
4.258479799987981,-5
4.258732299989788,-85
4.259003799990751,49
4.259271199989598,21
4.2595425999898,20
4.2610206999816,18
4.261451500002295,-81
4.261854099982884,-32
4.26217179998639,-54
4.262416699988535,-2
4.262678099999903,-15
4.262932399986312,-25
4.26326809998136,46
4.263546000001952,62
4.263859300001059,65
4.264159899990773,52
4.264526699989801,-1
4.264755299984245,-54
4.264979100000346,-34
4.265239399974234,-55
