t,leg,z,mean
1789782618.692,up0,13800,18
1789782618.714,up0,13900,33
1789782618.737,up0,14000,20
1789782618.759,up0,14100,22
1789782618.782,up0,14200,15
1789782618.804,up0,14300,32
1789782618.827,up0,14400,28
1789782618.85,up0,14500,28
1789782618.873,up0,14600,18
1789782618.896,up0,14700,30
1789782618.919,up0,14800,23
1789782618.942,up0,14900,28
1789782618.966,up0,15000,27
1789782618.989,up0,15100,17
1789782619.013,up0,15200,11
1789782619.036,up0,15300,19
1789782619.06,up0,15400,29
1789782619.082,up0,15500,27
1789782619.105,up0,15600,20
1789782619.128,up0,15700,21
1789782619.152,up0,15800,22
1789782619.175,up0,15900,30
1789782619.2,up0,16000,23
1789782619.222,up0,16100,24
1789782619.245,up0,16200,17
1789782619.267,up0,16300,25
1789782619.288,up0,16400,24
1789782619.311,up0,16500,24
1789782619.334,up0,16600,23
1789782619.359,up0,16700,21
1789782619.382,up0,16800,10
1789782619.404,up0,16900,17
1789782619.429,up0,17000,24
1789782619.455,up0,17100,29
1789782619.478,up0,17200,23
1789782619.501,up0,17300,29
1789782619.525,up0,17400,25
1789782619.547,up0,17500,21
1789782619.57,up0,17600,21
1789782619.593,up0,17700,30
1789782619.614,up0,17800,14
1789782619.636,up0,17900,20
1789782619.657,up0,18000,20
1789782619.68,up0,18100,26
1789782619.705,up0,18200,18
1789782619.729,up0,18300,30
1789782619.752,up0,18400,32
1789782619.775,up0,18500,27
1789782619.798,up0,18600,29
1789782619.821,up0,18700,25
1789782619.844,up0,18800,21
1789782619.867,up0,18900,27
1789782619.891,up0,19000,19
1789782619.914,up0,19100,29
1789782619.936,up0,19200,20
1789782619.959,up0,19300,26
1789782619.983,up0,19400,29
1789782620.006,up0,19500,26
1789782620.032,up0,19600,26
1789782620.056,up0,19700,22
1789782620.081,up0,19800,15
1789782620.105,up0,19900,22
1789782620.129,up0,20000,35
1789782620.154,up0,20100,32
1789782620.177,up0,20200,22
1789782620.2,up0,20300,23
1789782620.224,up0,20400,28
1789782620.247,up0,20500,28
1789782620.269,up0,20600,35
1789782620.292,up0,20700,12
1789782620.314,up0,20800,21
1789782620.337,up0,20900,29
1789782620.36,up0,21000,22
1789782620.383,up0,21100,26
1789782620.409,up0,21200,34
1789782620.433,up0,21300,11
1789782620.457,up0,21400,20
1789782620.479,up0,21500,26
1789782620.505,up0,21600,35
1789782620.53,up0,21700,21
1789782620.553,up0,21800,33
1789782620.575,up0,21900,15
1789782620.597,up0,22000,22
1789782620.621,up0,22100,26
1789782620.643,up0,22200,25
1789782620.665,up0,22300,18
1789782620.687,up0,22400,15
1789782620.711,up0,22500,26
1789782620.734,up0,22600,26
1789782620.759,up0,22700,16
1789782620.782,up0,22800,12
1789782620.806,up0,22900,31
1789782620.83,up0,23000,20
1789782620.853,up0,23100,22
1789782620.877,up0,23200,20
1789782620.9,up0,23300,13
1789782620.923,up0,23400,22
1789782620.946,up0,23500,25
1789782620.968,up0,23600,20
1789782620.991,up0,23700,19
1789782621.015,up0,23800,12
1789782621.037,up0,23900,17
1789782621.06,up0,24000,17
1789782621.083,up0,24100,4
1789782621.106,up0,24200,30
1789782621.128,up0,24300,19
1789782621.151,up0,24400,26
1789782621.176,up0,24500,34
1789782621.199,up0,24600,10
1789782621.224,up0,24700,54
1789782621.249,up0,24800,18
1789782621.272,up0,24900,15
1789782621.296,up0,25000,27
1789782621.319,up0,25100,31
1789782621.343,up0,25200,28
1789782621.367,up0,25300,33
1789782621.391,up0,25400,44
1789782621.414,up0,25500,18
1789782621.441,up0,25600,16
1789782621.465,up0,25700,23
1789782621.488,up0,25800,31
1789782621.511,up0,25900,18
1789782621.536,up0,26000,26
1789782621.559,up0,26100,21
1789782621.582,up0,26200,21
1789782621.604,up0,26300,22
1789782621.627,up0,26400,27
1789782621.65,up0,26500,30
1789782621.672,up0,26600,34
1789782621.695,up0,26700,27
1789782621.718,up0,26800,28
1789782621.741,up0,26900,21
1789782621.766,up0,27000,19
1789782621.789,up0,27100,24
1789782621.812,up0,27200,35
1789782621.835,up0,27300,31
1789782621.857,up0,27400,31
1789782621.879,up0,27500,12
1789782621.902,up0,27600,23
1789782621.925,up0,27700,18
1789782621.948,up0,27800,27
1789782621.972,up0,27900,15
1789782621.995,up0,28000,26
1789782622.017,up0,28100,18
1789782622.041,up0,28200,21
1789782622.067,up0,28300,19
1789782622.092,up0,28400,17
1789782622.117,up0,28500,23
1789782622.139,up0,28600,31
1789782622.163,up0,28700,20
1789782622.186,up0,28800,25
1789782622.209,up0,28900,19
1789782622.232,up0,29000,12
1789782622.255,up0,29100,34
1789782622.279,up0,29200,26
1789782622.303,up0,29300,21
1789782622.326,up0,29400,22
1789782622.349,up0,29500,8
1789782622.371,up0,29600,22
1789782622.395,up0,29700,20
1789782622.418,up0,29800,28
1789782622.441,up0,29900,24
1789782622.463,up0,30000,16
1789782622.487,up0,30100,31
1789782622.512,up0,30200,40
1789782622.539,up0,30300,47
1789782622.562,up0,30400,25
1789782622.584,up0,30500,30
1789782622.606,up0,30600,26
1789782622.627,up0,30700,22
1789782622.648,up0,30800,24
1789782622.669,up0,30900,29
1789782622.691,up0,31000,24
1789782622.713,up0,31100,27
1789782622.736,up0,31200,24
1789782622.757,up0,31300,21
1789782622.78,up0,31400,23
1789782622.804,up0,31500,25
1789782622.828,up0,31600,26
1789782622.851,up0,31700,22
1789782622.874,up0,31800,23
1789782622.897,up0,31900,31
1789782622.92,up0,32000,14
1789782622.944,up0,32100,24
1789782622.968,up0,32200,23
1789782622.995,up0,32300,31
1789782623.022,up0,32400,26
1789782623.048,up0,32500,24
1789782623.073,up0,32600,20
1789782623.098,up0,32700,24
1789782623.12,up0,32800,32
1789782623.143,up0,32900,18
1789782623.166,up0,33000,26
1789782623.189,up0,33100,21
1789782623.212,up0,33200,26
1789782623.234,up0,33300,31
1789782623.255,up0,33400,25
1789782623.279,up0,33500,29
1789782623.305,up0,33600,26
1789782623.331,up0,33700,16
1789782623.355,up0,33800,30
1789782623.379,up0,33900,26
1789782623.402,up0,34000,26
1789782623.424,up0,34100,27
1789782623.45,up0,34200,35
1789782623.474,up0,34300,26
1789782623.497,up0,34400,24
1789782623.521,up0,34500,14
1789782623.544,up0,34600,19
1789782623.569,up0,34700,19
1789782623.594,up0,34800,21
1789782623.617,up0,34900,38
1789782623.64,up0,35000,16
1789782623.661,up0,35100,34
1789782623.684,up0,35200,42
1789782623.707,up0,35300,30
1789782623.73,up0,35400,23
1789782623.753,up0,35500,31
1789782623.775,up0,35600,22
1789782623.798,up0,35700,23
1789782623.822,up0,35800,31
1789782623.845,up0,35900,30
1789782623.867,up0,36000,35
1789782623.889,up0,36100,34
1789782623.912,up0,36200,37
1789782623.934,up0,36300,32
1789782623.958,up0,36400,25
1789782623.982,up0,36500,20
1789782624.006,up0,36600,16
1789782624.03,up0,36700,41
1789782624.052,up0,36800,26
1789782624.078,up0,36900,17
1789782624.103,up0,37000,26
1789782624.125,up0,37100,19
1789782624.149,up0,37200,30
1789782624.175,up0,37300,18
1789782624.199,up0,37400,26
1789782624.222,up0,37500,11
1789782624.247,up0,37600,27
1789782624.271,up0,37700,24
1789782624.296,up0,37800,26
1789782624.321,up0,37900,22
1789782624.343,up0,38000,18
1789782624.367,up0,38100,23
1789782624.389,up0,38200,19
1789782624.412,up0,38300,18
1789782624.435,up0,38400,21
1789782624.461,up0,38500,23
1789782624.486,up0,38600,27
1789782624.511,up0,38700,29
1789782624.536,up0,38800,46
1789782624.561,up0,38900,17
1789782624.583,up0,39000,14
1789782624.608,up0,39100,28
1789782624.631,up0,39200,15
1789782624.653,up0,39300,17
1789782624.676,up0,39400,25
1789782624.701,up0,39500,33
1789782624.726,up0,39600,16
1789782624.75,up0,39700,23
1789782624.772,up0,39800,29
1789782624.795,up0,39900,18
1789782624.817,up0,40000,16
1789782624.84,up0,40100,13
