t_s,adcr
0.09451759999501519,32
0.09476959999301471,24
0.09504489999380894,15
0.09531340000103228,37
0.09557839998160489,47
0.09584910000558011,38
0.09611889999359846,66
0.09645469998940825,22
0.09672579998732544,3
0.0969764000037685,-15
0.09722490000422113,78
0.0974757999938447,65
0.09774739999556914,19
0.09808480000356212,-51
0.09835169999860227,-78
0.09862059997976758,-66
0.09895529999630526,-54
0.0992236000020057,-42
0.09949950000736862,-58
0.09981069999048486,18
0.1000824999937322,-2
0.10035389999393374,0
0.10060199999134056,13
0.10085389998857863,-51
0.10115010000299662,-47
0.10143730000709184,-9
0.10168870000052266,27
0.1019603000022471,-10
0.10232059998088516,6
0.10262879999936558,-41
0.1029203999787569,-16
0.10326139998505823,-50
0.10370929999044165,30
0.10411429998930544,37
0.10461449998547323,33
0.1048908999946434,-11
0.10519199998816475,16
0.10544709998066537,20
0.1056862999976147,-24
0.10594399998080917,38
0.10618519998388365,27
0.1064401000039652,3
0.10672919999342412,10
0.10701779997907579,6
0.10731510000186972,19
0.10758729997905903,26
0.1078634999867063,17
0.10811209998792037,12
0.10836439998820424,-4
0.10862189999897964,71
0.10889430000679567,55
0.1091757999965921,42
0.10946029998012818,-35
0.10972849998506717,-17
0.110014499980025,-69
0.11031119999825023,-35
0.11058619999676012,-35
0.11085349999484606,-29
0.11112970000249334,-31
0.11143999997875653,61
0.11168579998775385,-26
0.11193809998803772,-34
0.11220869998214766,-39
0.1124806999869179,-33
0.11274929999490269,-6
0.11309279999113642,65
0.11335509998025373,86
0.11361359999864362,74
0.11387020000256598,37
0.11412479999125935,24
0.1144635999808088,-6
0.11471569997956976,72
0.11496059998171404,23
0.11523699999088421,64
0.11552419999497943,34
0.11579270000220276,37
0.11608249999699183,18
0.11635749999550171,32
0.11662459999206476,13
0.1169602999871131,4
0.11722990000271238,-17
0.11750269998447038,-11
0.11783760000253096,15
0.11810950000653975,-19
0.11837139999261126,-7
0.11862749999272637,37
0.11901019999640994,63
0.11937119998037815,-26
0.11965229999623261,-12
0.12000649998662993,40
0.12050619997899048,-36
0.12090039998292923,15
0.12130599998636171,-35
0.12163589999545366,-64
0.12195679999422282,-38
0.12223109998740256,4
0.12252730000182055,-16
0.12283389997901395,48
0.12311089999275282,-21
0.12334769999142736,49
0.12362450000364333,42
0.12396130000706762,10
0.12422090000472963,-30
0.12449689998175018,-30
0.12483630000497214,-7
0.1251351999817416,-12
0.12542120000580326,44
0.1256930999807082,32
0.12594070000341162,17
0.12621190000209026,7
0.1264921999827493,46
0.12676529999589548,64
0.12707590000354685,71
0.1273716999858152,-39
0.127650199981872,-17
0.12794619999476708,-18
0.12823539998498745,-99
0.12848309997934848,-20
0.1287677999935113,3
0.12905220000538975,-49
0.12934099999256432,48
0.12958849998540245,6
0.1298395000048913,-18
0.13010929999290965,-18
0.13038289998075925,-29
0.13067109999246895,-36
0.13092120000510477,-6
0.13117439998313785,-65
0.1314180000044871,-31
0.13166819998878054,-42
0.13191890000598505,-96
0.13218980000237934,19
0.13244359998498112,-17
0.13271189999068156,-20
0.1329849000030663,-36
0.13325590000022203,-13
0.1335454999934882,-32
0.1337984999991022,-20
0.13405100000090897,-83
0.13431560000753962,-16
0.13470830000005662,-14
0.13506579998647794,-20
0.13536960000055842,-87
0.13567409999086522,-43
0.1359502999985125,-58
0.1362399999925401,-13
0.1367403999902308,30
0.13709479998215102,56
0.1374221000005491,-13
0.13795760000357404,-7
0.1383172000059858,-14
0.13863420000416227,23
0.1389754999836441,-26
0.13927429998875596,-98
0.1395671000063885,-18
0.13982229999965057,-64
0.14006849998258986,-33
0.14032599999336526,-30
0.1406076999846846,-29
0.14089999999850988,-30
0.14117119999718852,-32
0.14143449999392033,-3
0.14171269998769276,-31
0.1419850999955088,-22
0.14224869999452494,-2
0.1425001999887172,-6
0.14283789999899454,25
0.14311049997922964,53
0.14336039999034256,35
0.14361259998986498,-1
0.1438674999808427,24
0.14413329999661073,-19
0.14445100000011735,13
0.14473349999752827,39
0.14499969998723827,72
0.14525450000655837,4
0.14558759998180903,-38
0.14585989998886362,-48
0.14611460000742227,40
0.14636260000406764,19
0.14661409999825992,19
0.1468688999884762,93
0.1471294999937527,51
0.1474492999841459,0
0.14773319999221712,1
0.14799959998345003,-28
0.1482446999871172,-75
0.14850809998461045,41
0.14884139999048784,-36
0.14909150000312366,-46
0.14934289999655448,-89
0.1495930999808479,-12
0.14984239998739213,-4
0.1500930000038352,31
0.1503484999993816,-4
0.15062060000491329,7
0.15087579999817535,-6
0.1511443000053987,-14
0.15144640000653453,-9
0.15169599998625927,-10
0.15199429998756386,75
0.15235150000080466,-107
0.15274489999865182,-11
0.153221599990502,13
0.15366189999622293,-28
0.1540165999904275,26
0.1543707999808248,-61
0.15480269998079166,42
0.15509749998454936,-44
0.15541479998501018,-47
