t,cycle,phase,z,adc
11.9605,16,pre,0,32767
11.9645,16,pre,0,32767
11.9691,16,pre,0,32767
11.973,16,pre,0,32767
11.9786,16,pre,0,32767
11.9844,16,pre,0,32767
11.9901,16,pre,0,32767
11.9955,16,pre,0,32767
12.0002,16,pre,0,32767
12.0046,16,pre,0,32767
12.009,16,pre,0,32767
12.0135,16,pre,0,32767
12.0181,16,pre,0,32767
12.0233,16,pre,0,32767
12.0284,16,pre,0,32767
12.0338,16,pre,0,32767
12.0398,16,in,4,32767
12.0452,16,snap,0,32767
12.0507,17,in,0,32767
12.0563,17,pre,0,32767
12.0605,17,pre,0,32767
12.0654,17,pre,0,32767
12.0693,17,pre,0,32767
12.0746,17,pre,0,32767
12.0804,17,pre,0,32767
12.0866,17,pre,0,32767
12.092,17,pre,0,32767
12.0969,17,pre,0,32767
12.1022,17,pre,0,32767
12.1076,17,pre,0,32767
12.1125,17,pre,0,32767
12.1183,17,pre,0,32767
12.1242,17,pre,0,13301.2
12.1294,17,pre,0,2403.4
12.1337,17,pre,0,2216.2
12.138,17,pre,0,4011.4
12.1422,17,pre,0,11670.2
12.1477,17,pre,0,31306.2
12.1534,17,pre,0,32767
12.1588,17,in,4,32767
12.1642,17,snap,0,32767
12.1697,18,in,0,32767
12.1753,18,pre,0,32767
12.1805,18,pre,0,32767
12.186,18,pre,0,32767
12.1909,18,pre,0,32767
12.196,18,pre,0,32767
12.2019,18,pre,0,32767
12.2074,18,pre,0,32767
12.2126,18,pre,0,32767
12.2183,18,pre,0,32767
12.2239,18,pre,0,32767
12.2291,18,pre,0,32767
12.2346,18,pre,0,32767
12.2397,18,pre,0,32767
12.2452,18,pre,0,32767
12.2504,18,pre,0,32767
12.2559,18,pre,0,32767
12.2613,18,pre,0,32767
12.2666,18,pre,0,32767
12.2723,18,pre,0,32767
12.2776,18,pre,0,32767
12.2826,18,in,4,32767
12.2883,18,snap,0,32767
12.2935,19,in,0,32767
12.2987,19,pre,0,32767
12.3041,19,pre,0,32767
12.3098,19,pre,0,32767
12.3152,19,pre,0,32767
12.321,19,pre,0,32767
12.3278,19,pre,0,32767
12.3334,19,pre,0,32767
12.3387,19,pre,0,32767
12.3438,19,pre,0,32767
12.3494,19,pre,0,32767
12.3544,19,pre,0,32767
12.3604,19,pre,0,32767
12.3657,19,pre,0,32767
12.3715,19,pre,0,32767
12.3775,19,pre,0,32767
12.3829,19,pre,0,32767
12.3884,19,pre,0,32767
12.3941,19,pre,0,32767
12.3992,19,pre,0,32715.4
12.405,19,pre,0,31737.6
12.4114,19,in,4,24469.8
12.4175,19,snap,0,17747.6
12.423,20,in,0,16042.8
12.4275,20,pre,0,22622.6
12.4327,20,pre,0,19687.6
12.4375,20,pre,0,23264.8
12.4422,20,pre,0,32767
12.4469,20,pre,0,32767
12.452,20,pre,0,32767
12.4571,20,pre,0,32767
12.462,20,pre,0,32767
12.4673,20,pre,0,32767
12.4726,20,pre,0,32767
12.4778,20,pre,0,32767
12.4828,20,pre,0,32767
12.4881,20,pre,0,32767
12.494,20,pre,0,32767
12.4993,20,pre,0,32767
12.505,20,pre,0,32767
12.5108,20,pre,0,32767
12.5162,20,pre,0,32767
12.5221,20,pre,0,32767
12.5279,20,pre,0,32767
12.5329,20,in,4,32767
12.538,20,snap,0,20812.8
12.5442,21,in,0,16015.4
12.5502,21,pre,0,8827.6
12.5564,21,pre,0,3746.4
12.5616,21,pre,0,3186.2
12.5672,21,pre,0,4341.8
12.5722,21,pre,0,5499.8
12.5781,21,pre,0,7076.8
12.5832,21,pre,0,12010.8
12.5892,21,pre,0,13662
12.5942,21,pre,0,17383.6
12.5994,21,pre,0,20420.4
12.6049,21,pre,0,23891.6
12.6109,21,pre,0,31646.4
12.617,21,pre,0,28017.8
12.6224,21,pre,0,32223.4
12.6276,21,pre,0,31250
12.6329,21,pre,0,30512.6
12.6376,21,pre,0,32604.2
12.6427,21,pre,0,22880.4
12.6473,21,pre,0,11701.8
12.6519,21,pre,0,10456.4
12.6563,21,in,4,4918.2
12.6608,21,out,0,4409
12.6655,22,in,0,5387
12.6694,22,pre,0,5991.6
12.6735,22,pre,0,4981.4
12.6789,22,pre,0,2464.2
12.6831,22,pre,0,4682
12.6877,22,pre,0,3725.8
12.6923,22,pre,0,4033.4
12.6973,22,pre,0,4113.6
12.7013,22,pre,0,6494.8
12.7058,22,pre,0,4009
12.7115,22,pre,0,5197.8
12.7164,22,pre,0,3834.4
12.7204,22,pre,0,2472
12.7261,22,pre,0,2952
12.7314,22,pre,0,2808
12.7367,22,pre,0,2025.8
12.7424,22,pre,0,1972.6
12.7476,22,pre,0,2931.6
12.7523,22,pre,0,2678.4
12.7576,22,pre,0,1392.2
12.7627,22,pre,0,1913.2
12.7669,22,in,4,3115
12.7711,22,out,0,1607.2
12.7756,23,in,0,1826.2
12.7801,23,pre,0,2823.8
12.7846,23,pre,0,4393.4
12.7892,23,pre,0,7692.8
12.7991,23,pre,0,24937.8
12.8038,23,pre,0,32767
12.8089,23,pre,0,32767
12.8138,23,pre,0,32767
12.8189,23,pre,0,32767
12.8236,23,pre,0,32767
12.8293,23,pre,0,32767
12.8343,23,pre,0,32767
12.8399,23,pre,0,32767
12.8458,23,pre,0,32767
12.8518,23,pre,0,32767
12.8571,23,pre,0,32767
12.8622,23,pre,0,32767
12.8683,23,pre,0,32767
12.8735,23,pre,0,32767
12.8783,23,pre,0,32767
12.8827,23,pre,0,32767
